id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	accuracy	-0.5841	-0.4393	4	20	38	6	2023.3333	3	1.0416
2	automation	-0.2003	-0.3841	4	20	22	5	2023.2	8	0.3472
3	banking	0.3277	0.4278	1	31	40	5	2023.8	1	0.7133
4	blockchain	0.6187	0.5191	1	31	82	13	2023.2308	2.2308	0.8356
5	blockchain technology	0.5274	0.7528	1	39	104	13	2023.3077	1.6154	0.6706
6	building	-0.2252	-1.0475	4	14	17	5	2021.8	2.4	0.6182
7	business	0.2047	-0.4588	1	21	25	6	2023.6667	0.6667	0.5422
8	city	-0.3655	-0.4545	4	41	86	12	2022.4167	6.5	0.8364
9	climate change	-0.2642	-0.8387	4	23	29	6	2022.1667	2.5	0.6764
10	company	0.3397	-0.1801	3	44	94	14	2022.7143	3.9286	0.5924
11	cost	0.2219	-0.6261	4	36	53	7	2023.1429	2.1429	0.4965
12	covid	0.5536	-0.0124	3	30	57	6	2022	10.3333	1.0506
13	cryptocurrency	0.4895	0.8871	1	27	43	5	2022.6	1.6	0.2789
14	demand	-0.8443	-0.1338	2	28	62	8	2023.25	0.625	0.498
15	digital transformation	-0.0067	-0.9074	4	14	19	6	2022.3333	7	0.4863
16	efficiency	0.2565	0.065	1	33	77	12	2023.5	4.75	0.6626
17	ethical consideration	-0.1368	0.729	1	27	40	4	2024.25	0.5	0.4066
18	factor	-0.3913	-0.2243	3	42	115	15	2023.2	4.7333	1.7588
19	financial service	0.5423	-0.2715	1	12	13	4	2021.25	10.5	1.2045
20	governance	0.198	0.6786	3	37	65	7	2022.8571	1.2857	0.4028
21	government	0.3895	-0.7135	3	18	25	4	2023	1.25	0.3916
22	information	-0.0115	-0.7942	4	25	40	8	2022	19.625	1.4077
23	internet	0.9805	-0.1606	1	20	26	4	2022	2.75	0.351
24	investment	-0.2093	0.4312	2	42	107	12	2023.75	5.1667	1.8199
25	investor	-0.6596	0.3343	2	38	89	9	2023.4444	1.6667	0.9945
26	liquidity	0.4779	0.5214	3	26	39	6	2022.8333	2	0.3788
27	map	-0.227	-0.9766	4	14	19	5	2022.8	2	0.7818
28	net present value	0.4207	-0.6091	3	24	39	6	2022.6667	2.1667	0.3636
29	network	0.928	-0.0796	1	29	55	8	2021.875	2.25	0.7275
30	new technology	-0.6888	0.623	2	17	21	4	2024	0.5	0.4066
31	pandemic	0.4017	-0.2404	3	33	60	7	2022	8.8571	1.0433
32	policy	-0.1278	0.0149	3	42	102	10	2022.5	1.7	0.3784
33	policymaker	-0.6624	0.7439	2	35	78	7	2023.7143	1.2857	0.6806
34	potential	0.1134	0.3864	1	34	66	8	2023.75	0.875	0.5103
35	predictive analytic	-0.0837	0.6477	1	28	43	5	2023.6	10.8	1.2708
36	property	-0.5653	0.0913	2	30	67	7	2023	2.4286	1.3682
37	quality	0.7465	-0.2866	1	30	47	7	2022	19.7143	0.8776
38	real estate industry	-0.4024	-0.3189	4	33	56	13	2023.3846	4.0769	1.0633
39	real estate sector	-1.0362	-0.0201	2	24	50	7	2023.7143	1.7143	1.2198
40	regulation	-0.8007	0.5987	2	36	85	8	2023	0.625	0.373
41	return	-0.8997	0.5658	2	29	51	4	2023.25	0.5	0.3929
42	revenue	-0.7446	-0.2157	2	26	42	5	2022.8	0.6	0.3769
43	security	0.5632	0.1915	1	39	85	12	2023.1667	11.4167	0.7856
44	service	0.5935	-0.3923	1	26	34	7	2022.2857	7	0.9958
45	smart contract	0.8602	0.362	1	20	26	4	2024	2.75	0.8614
46	stakeholder	-0.8303	0.0578	2	33	76	10	2024	0.4	0.4198
47	sustainable growth	0.8769	-0.2626	3	22	33	4	2022.5	0.75	0.0682
48	transaction	0.7534	0.5817	1	32	67	9	2023	1.3333	0.6152
49	transparency	-0.0062	0.7488	1	38	107	14	2023.4286	1	0.5038
50	urban planning	-1.1601	-0.2114	2	21	39	5	2023.4	0.4	0.7143
51	volatility	-0.2514	0.3003	3	36	83	8	2023.5	1	0.473
